Dataset,ErrorType,Feature,Percentage,Model,Accuracy,Precision,Recall,F1_Score
noise_05_loan_intent,noise,loan_intent,50,rf,0.9431,0.8677,0.8702,0.8689
noise_05_loan_intent,noise,loan_intent,50,knn,0.8464,0.7261,0.4668,0.5683
noise_05_loan_intent,noise,loan_intent,50,mlp,0.8498,0.6472,0.6738,0.6602
noise_05_loan_intent,noise,loan_intent,50,nb,0.8202,0.7002,0.2967,0.4168
noise_05_loan_intent,noise,loan_intent,50,dt,0.2165,0.2166,0.9998,0.356
noise_05_loan_intent,noise,loan_intent,50,svm,0.4714,0.2673,0.8276,0.4041
noise_05_loan_percent_income,noise,loan_percent_income,50,lda,0.9647,0.9867,0.8486,0.9124
noise_05_loan_percent_income,noise,loan_percent_income,50,lr,0.9695,0.971,0.8858,0.9265
noise_05_loan_percent_income,noise,loan_percent_income,50,et,0.9466,0.875,0.8789,0.8769
noise_05_loan_percent_income,noise,loan_percent_income,50,rf,0.85,0.7352,0.4803,0.581
noise_05_loan_percent_income,noise,loan_percent_income,50,knn,0.8387,0.6703,0.5026,0.5745
noise_05_loan_percent_income,noise,loan_percent_income,50,mlp,0.8366,0.6326,0.5855,0.6081
noise_05_loan_percent_income,noise,loan_percent_income,50,nb,0.8208,0.7033,0.2981,0.4188
noise_05_loan_percent_income,noise,loan_percent_income,50,dt,0.3294,0.2362,0.9387,0.3775
noise_05_loan_percent_income,noise,loan_percent_income,50,svm,0.8532,0.7075,0.5495,0.6186
noise_05_loan_status,noise,loan_status,50,lda,0.8576,0.7239,0.5534,0.6273
noise_05_loan_status,noise,loan_status,50,lr,0.8309,0.6782,0.4173,0.5167
noise_05_loan_status,noise,loan_status,50,et,0.7185,0.4077,0.6614,0.5044
noise_05_loan_status,noise,loan_status,50,rf,0.6952,0.3801,0.6461,0.4786
noise_05_loan_status,noise,loan_status,50,knn,0.6487,0.3384,0.6517,0.4455
noise_05_loan_status,noise,loan_status,50,mlp,0.6582,0.3449,0.6427,0.4489
noise_05_loan_status,noise,loan_status,50,nb,0.7838,0.9167,0.0018,0.0035
noise_05_loan_status,noise,loan_status,50,dt,0.2149,0.2149,0.9892,0.3531
noise_05_loan_status,noise,loan_status,50,svm,0.2802,0.2295,0.9855,0.3723
noise_05_person_age,noise,person_age,50,lda,0.9669,0.9912,0.8547,0.9179
noise_05_person_age,noise,person_age,50,lr,0.9715,0.977,0.8892,0.931
noise_05_person_age,noise,person_age,50,et,0.9498,0.8817,0.8873,0.8845
noise_05_person_age,noise,person_age,50,rf,0.8658,0.7326,0.5992,0.6592
noise_05_person_age,noise,person_age,50,knn,0.8526,0.7337,0.5016,0.5959
noise_05_person_age,noise,person_age,50,mlp,0.855,0.6545,0.7004,0.6767
noise_05_person_age,noise,person_age,50,nb,0.8204,0.7079,0.2907,0.4122
